brine_in_p,brine_in_t,brine_out_q,R134aPumpSpeed,AmbientTemp,gross,net
871.497320192,420.094444444444,0.171037523967177,919.0,264.48333333333335,10787.569974986038,9525.423311175475
870.118368736,420.038888888889,0.171226794558067,919.0,264.5944444444445,10788.35356538741,9526.206901576843
872.18679592,420.038888888889,0.17128988475503,919.0,264.48333333333335,10790.479118406372,9528.332454595806
874.255223104,420.094444444444,0.171163704361104,919.0,263.5388888888889,10791.830345065147,9529.68368125458
876.323650288,420.094444444444,0.171037523967177,919.0,262.2055555555556,10787.56997498633,9525.423311175764
878.392077472,420.094444444444,0.171037523967177,919.0,262.31666666666666,10787.569974986063,9525.423311175497
880.460504656,420.094444444444,0.170974433770214,919.0,261.7055555555555,10785.437130518985,9523.290466708419
882.52893184,420.15,0.170974433770214,920.0,262.65000000000003,10797.787966736265,9532.582709758095
884.597359024,420.15,0.17110061416414,920.0,266.98333333333335,10802.0649240748,9536.859667096627
885.97631048,420.15,0.170722072982361,920.0,270.0388888888889,10789.212538100695,9524.007281122522
885.97631048,420.15,0.170848253376288,920.0,274.7055555555556,10514.87692284213,9257.907392071556
885.286834752,420.15,0.170848253376288,920.0,277.2611111111111,10071.612976020104,8828.692193703695
884.597359024,420.15,0.170974433770214,918.0,277.81666666666666,9964.746547393232,8731.140848029747
883.218407568,420.15,0.170911343573251,918.0,278.3722222222222,9865.0178476809,8634.732181411218
882.52893184,420.15,0.171037523967177,918.0,278.5388888888889,9839.521210577228,8610.245558325285
881.839456112,420.15,0.170848253376288,918.0,277.7611111111112,9970.574261761698,8736.640507108143
881.149980384,420.15,0.170911343573251,919.0,275.2611111111112,10414.769286370512,9163.772015106206
880.460504656,420.15,0.170911343573251,919.0,272.0944444444445,10788.90299616884,9526.756332358273
880.460504656,420.15,0.170911343573251,919.0,270.2055555555555,10788.902996168938,9526.756332358374
879.771028928,420.15,0.170911343573251,919.0,268.7611111111112,10788.902996168938,9526.756332358374
879.771028928,420.094444444444,0.170911343573251,919.0,267.2611111111111,10783.302507244613,9521.15584343405
879.0815532,420.094444444444,0.170911343573251,919.0,267.7055555555555,10783.302507244613,9521.15584343405
879.0815532,420.094444444444,0.171037523967177,920.0,266.2611111111112,10794.315053903518,9529.109796925348
878.392077472,420.094444444444,0.170785163179324,920.0,264.7611111111111,10785.74760249063,9520.54234551246
878.392077472,420.094444444444,0.170911343573251,920.0,263.5388888888889,10790.034922229886,9524.829665251713
875.63417456,420.038888888889,0.170974433770214,921.0,263.42777777777775,10793.257006539867,9524.98859119519
870.118368736,420.038888888889,0.170911343573251,924.0,262.59444444444443,10810.988702055136,9533.503390577858
864.602562912,420.038888888889,0.170911343573251,923.0,262.42777777777775,10804.394233819285,9529.985794209248
863.223611456,420.094444444444,0.171352974951993,923.0,261.7611111111111,10825.126815219397,9550.71837560936
865.981514368,420.094444444444,0.171226794558067,922.0,261.42777777777775,10814.156279376122,9542.820137482184
868.049941552,420.094444444444,0.17110061416414,924.0,261.42777777777775,10823.144371329188,9545.65905985191
870.807844464,420.15,0.171037523967177,925.0,262.15,10833.23867691291,9552.671916432711
872.876271648,420.15,0.170974433770214,925.0,267.42777777777775,10831.067106129407,9550.500345649209
874.944698832,420.15,0.170848253376288,926.0,271.2055555555555,10833.265622955963,9549.612833352405
877.702601744,420.15,0.170911343573251,927.0,275.98333333333335,10342.499312075508,9070.934627457409
879.771028928,420.15,0.170974433770214,929.0,276.8722222222222,10202.434042183466,8929.729536748631
881.149980384,420.15,0.170911343573251,929.0,277.65000000000003,10063.95481941652,8795.798770961504
881.839456112,420.15,0.170848253376288,929.0,278.7055555555555,9875.911315921177,8614.155776270632
882.52893184,420.15,0.170911343573251,927.0,278.42777777777775,9914.166145302133,8656.835855413465
883.218407568,420.15,0.170848253376288,919.0,278.03888888888895,9928.41051462757,8693.097815874376
883.907883296,420.15,0.170848253376288,920.0,276.2055555555555,10255.877522232553,9006.970125920134
884.597359024,420.15,0.170722072982361,925.0,273.7055555555555,10713.99462719364,9436.594659397186
885.286834752,420.15,0.170722072982361,933.0,271.8722222222222,10873.72033203826,9568.33684443055
885.97631048,420.15,0.170658982785398,924.0,270.65,10813.621680619399,9536.136369142117
886.665786208,420.15,0.170722072982361,911.0,268.2611111111111,10727.57924255907,9489.737334915895
887.355261936,420.15,0.170595892588435,911.0,267.9277777777778,10723.392634830141,9485.550727186963
888.044737664,420.094444444444,0.170722072982361,907.0,266.0944444444445,10693.934145429366,9468.135599927005
888.734213392,420.094444444444,0.170722072982361,911.0,265.92777777777775,10722.06849803691,9484.226590393733
885.97631048,420.094444444444,0.170595892588435,921.0,265.31666666666666,10785.972041755265,9517.703626410585
885.97631048,420.038888888889,0.170658982785398,923.0,264.87222222222226,10795.735501506913,9521.32706189687
885.97631048,420.038888888889,0.170658982785398,923.0,263.92777777777775,10795.735501506917,9521.327061896875
885.286834752,420.094444444444,0.170595892588435,928.0,263.81666666666666,10831.75849431652,9541.91989416471
879.0815532,420.094444444444,0.170595892588435,929.0,263.42777777777775,10838.169499275762,9545.231111728384
872.876271648,420.094444444444,0.170595892588435,929.0,262.7611111111112,10838.169499276031,9545.231111728654
870.807844464,420.094444444444,0.170911343573251,929.0,262.59444444444443,10849.19784352699,9556.259455979616
873.565747376,420.094444444444,0.170722072982361,929.0,263.2055555555556,10842.58663439992,9549.648246852543
877.013126016,420.094444444444,0.170532802391472,929.0,267.0944444444445,10835.958019494592,9543.019631947218
880.460504656,420.094444444444,0.170595892588435,929.0,271.8722222222222,10838.16949927576,9545.231111728383
883.907883296,420.15,0.170658982785398,929.0,276.53888888888895,10250.301147954844,8975.690805690321
887.355261936,420.15,0.170532802391472,929.0,277.7055555555555,10041.954453101533,8774.128736105107
889.42368912,420.15,0.170658982785398,929.0,278.87222222222226,9840.480533109465,8579.759587942002
889.42368912,420.15,0.170722072982361,929.0,280.09444444444443,9626.205796709852,8373.27207678194
889.42368912,420.15,0.170722072982361,922.0,280.4277777777778,9522.270168944278,8292.822573893098
889.42368912,420.15,0.170722072982361,910.0,280.2611111111112,9471.841679738114,8277.314107222748
889.42368912,420.205555555556,0.170722072982361,919.0,277.7611111111112,9978.544990827459,8741.583134407323
889.42368912,420.205555555556,0.170532802391472,929.0,274.7611111111111,10559.18437963976,9274.84960174155
889.42368912,420.205555555556,0.170658982785398,929.0,271.7055555555555,10851.809772920515,9558.871385373139
889.42368912,420.15,0.170595892588435,929.0,269.81666666666666,10843.886302967658,9550.947915420278
889.42368912,420.15,0.170658982785398,929.0,268.7055555555555,10846.095926598255,9553.157539050875
888.734213392,420.15,0.170595892588435,929.0,267.7055555555555,10843.886302967632,9550.947915420256
888.734213392,420.094444444444,0.170658982785398,929.0,266.53888888888895,10840.379036074963,9547.440648527583
888.734213392,420.094444444444,0.170658982785398,929.0,265.3722222222222,10840.379036074668,9547.440648527292
887.355261936,420.094444444444,0.170658982785398,929.0,264.48333333333335,10840.379036074939,9547.440648527563
886.665786208,420.094444444444,0.170595892588435,929.0,264.3722222222222,10838.169499276026,9545.231111728646
886.665786208,420.038888888889,0.170658982785398,927.0,264.03888888888895,10821.81477049435,9535.071368661987
885.97631048,420.038888888889,0.170658982785398,919.0,263.03888888888895,10769.143681796231,9506.997017985663
883.218407568,419.983333333333,0.170785163179324,922.0,262.48333333333335,10787.814984782022,9516.478842888078
865.981514368,419.983333333333,0.165990308210123,891.0,261.98333333333335,10413.527783805252,9235.180365224118
866.670990096,419.983333333333,0.171857696527699,919.0,261.48333333333335,10803.9210788085,9541.77441499793
871.497320192,419.983333333333,0.17128988475503,922.0,263.15,10805.020580839422,9533.684438945476
876.323650288,419.983333333333,0.170848253376288,929.0,268.15,10835.552555604037,9542.614168056658
880.460504656,420.038888888889,0.170595892588435,929.0,271.15,10832.449635651845,9539.511248104465
885.286834752,420.038888888889,0.170595892588435,929.0,275.7611111111111,10372.355641694498,9093.39973203693
890.113164848,420.038888888889,0.170658982785398,929.0,278.3166666666667,9927.847883458693,8663.70374210948
892.181592032,420.094444444444,0.170658982785398,929.0,280.2611111111112,9589.551909621781,8337.707409862967
892.181592032,420.094444444444,0.170722072982361,929.0,280.98333333333335,9463.509419504651,8216.46075459919
892.181592032,420.094444444444,0.170722072982361,919.0,279.98333333333335,9576.221409723386,8352.956387878436
892.181592032,420.094444444444,0.170595892588435,920.0,278.3722222222222,9863.282000128169,8626.943111142367
892.181592032,420.094444444444,0.170658982785398,921.0,276.7611111111111,10154.280216069012,8905.448154980924
891.492116304,420.094444444444,0.170658982785398,924.0,274.15000000000003,10624.318807720994,9352.23766684458
891.492116304,420.094444444444,0.170595892588435,929.0,271.31666666666666,10838.169499275775,9545.231111728393
891.492116304,420.094444444444,0.170658982785398,929.0,269.5388888888889,10840.379036074666,9547.440648527292
891.492116304,420.094444444444,0.170658982785398,929.0,268.7055555555555,10840.379036073906,9547.440648526524
891.492116304,420.094444444444,0.170658982785398,929.0,267.59444444444443,10840.379036074959,9547.440648527581
890.802640576,420.094444444444,0.170722072982361,929.0,266.15,10842.586634399911,9549.648246852534
890.802640576,420.038888888889,0.170595892588435,929.0,265.53888888888895,10832.449635651834,9539.511248104456
890.113164848,420.094444444444,0.170658982785398,929.0,265.3722222222222,10840.379036074937,9547.440648527561
890.113164848,420.094444444444,0.170658982785398,929.0,264.5388888888889,10840.379036074715,9547.440648527334
890.113164848,420.094444444444,0.170595892588435,929.0,263.2611111111111,10838.169499275999,9545.231111728623
889.42368912,420.038888888889,0.170658982785398,929.0,263.3166666666667,10834.659089551014,9541.720702003633
888.044737664,420.038888888889,0.170785163179324,929.0,262.0944444444445,10839.072178544038,9546.133790996657
885.97631048,420.038888888889,0.170785163179324,929.0,262.31666666666666,10839.072178544258,9546.133790996882
884.597359024,420.038888888889,0.170974433770214,929.0,261.7055555555555,10845.677332439072,9552.738944891698
882.52893184,420.038888888889,0.17110061416414,929.0,262.42777777777775,10850.071167582499,9557.132780035125
880.460504656,420.094444444444,0.171163704361104,929.0,268.65,10857.98592275284,9565.047535205458
879.0815532,420.094444444444,0.171037523967177,929.0,274.3722222222222,10631.739302609592,9345.375939756233
877.013126016,420.094444444444,0.171163704361104,929.0,275.7055555555556,10406.45398176972,9127.193101847379
875.63417456,420.094444444444,0.171037523967177,929.0,277.9277777777778,10013.779293348189,8747.282162500102
876.323650288,420.094444444444,0.171226794558067,921.0,279.3166666666667,9722.624928229674,8489.079574458458
878.392077472,420.15,0.17110061416414,918.0,280.0388888888889,9576.212866034342,8356.318582449501
