Brine_p,brinein_T,brinein_m1,pumpspeed1,AmbientT,gross_p1,pumpcost1,brineout_T
134.6,422.57224,182.11969,1199.0,297.20557,7347.493,1512.9429,348.20898
134.1,422.57224,182.11969,1199.0,295.15,7676.26,1534.2078,346.85587
134.0,422.57224,182.1197,1199.0,293.15,8005.191,1553.8864,345.52698
133.7,422.57224,182.1197,1199.0,292.31668,8143.4863,1561.7926,344.96136
133.3,422.57224,182.11972,1198.9996,291.65,8256.299,1567.9937,344.51443
133.1,422.57224,182.11975,1198.9996,290.03888,8531.461,1582.5261,343.4213
132.7,422.57224,182.11975,1198.9996,288.92776,8726.149,1592.1757,342.67462
132.5,422.57224,182.11975,1198.9996,290.20557,8504.034,1581.0524,343.54248
132.4,422.57224,182.122,1183.9833,287.98334,8890.005,1600.1394,342.01672
132.2,422.57224,182.122,1183.9833,288.03888,8879.385,1599.677,342.05
132.3,422.57224,182.122,1183.9833,287.09445,9043.249,1607.4349,341.3816
132.6,422.57224,182.11975,1198.9996,290.15,8499.202,1581.5444,343.41766
133.0,422.57224,182.1197,1198.9999,294.98334,7690.3823,1535.8855,346.6616
133.6,422.57224,182.11969,1199.0,298.03888,7207.7676,1504.021,348.67142
133.8,422.57224,182.1197,1199.0,301.53888,6684.865,1464.6433,350.95218
133.7,422.57224,182.11969,1199.0,303.2611,6433.382,1444.1335,352.0496
133.3,422.57224,203.71936,1077.283,305.03888,6182.0737,1422.175,353.1815
132.8,422.57224,230.3205,1027.3151,306.09445,6041.8135,1408.7583,353.87262
132.7,422.57224,230.3205,1027.3151,307.03888,5912.6895,1396.514,354.4618
132.6,422.57224,230.3205,1027.3151,308.09445,5764.996,1382.5613,355.09042
132.8,422.57224,230.3205,1027.3151,308.20557,5748.684,1381.076,355.14728
133.1,422.57224,230.3205,1027.3151,308.81668,5665.939,1372.8514,355.50964
133.3,422.57224,230.3205,1027.3151,307.59445,5822.796,1389.2058,354.72852
133.6,422.57224,227.50981,1039.2505,304.81668,6206.4507,1424.9635,353.00977
133.7,422.57224,182.11972,1199.0,299.87222,6926.3296,1483.7789,349.8427
133.6,422.57224,182.11969,1199.0,296.98334,7367.601,1515.2927,347.943
133.5,422.57224,182.11969,1199.0,296.53888,7437.936,1519.9553,347.6507
133.6,422.57224,182.11975,1198.9998,296.48334,7446.759,1520.5345,347.6141
133.4,422.57224,182.11969,1199.0,296.70557,7404.788,1518.2126,347.7361
133.3,422.57224,182.1197,1198.9999,295.48334,7593.0127,1530.8309,346.90558
133.3,422.57224,182.1197,1199.0,294.48334,7757.61,1540.8778,346.25928
133.1,422.57224,182.11969,1199.0,294.53888,7749.862,1540.3262,346.30463
133.1,422.57224,182.1197,1199.0,293.2611,7957.98,1552.8192,345.44067
133.1,422.57224,182.11983,1198.9991,291.59445,8235.294,1568.5055,344.31064
132.9,422.57224,182.1197,1198.9999,291.65,8231.824,1567.9937,344.36334
132.6,422.57224,182.1197,1199.0,293.15,7978.829,1553.8864,345.3606
132.4,422.57224,182.11969,1199.0,298.09445,7191.267,1503.4199,348.6544
132.4,422.57224,182.11969,1199.0,301.15,6727.8613,1469.1709,350.63782
132.4,422.57224,182.12009,1199.0,303.70557,6361.4575,1438.7189,352.29062
132.5,422.57224,230.3205,1027.3151,306.37222,5987.142,1405.1805,353.95767
132.5,422.57224,230.3205,1027.3151,307.48334,5838.4717,1390.6737,354.647
132.5,422.57224,230.3205,1027.3151,309.09445,5628.057,1369.0815,355.65158
132.5,422.57224,230.3205,1027.3151,309.65,5554.2246,1361.483,355.98193
132.6,422.57224,230.3205,1027.3151,309.98334,5510.7925,1356.8861,356.18396
132.7,422.57224,230.3205,1027.3151,310.15,5488.24,1354.5771,356.2774
132.8,422.57224,230.3205,1027.3151,309.70557,5540.6885,1360.7189,355.98355
133.1,422.57224,230.3205,1027.3151,310.03888,5496.87,1356.1172,356.1818
133.2,422.57224,230.3205,1027.3151,306.87222,5914.2803,1398.6913,354.23346
133.1,422.57224,182.1197,1199.0,302.81668,6481.299,1449.4982,351.66806
133.2,422.57224,182.1197,1199.0,300.37222,6842.8423,1478.1118,350.1093
133.4,422.57224,182.1197,1198.9999,299.42776,6985.622,1488.7637,349.498
133.4,422.57224,182.11969,1199.0,298.09445,7185.209,1503.4199,348.61337
133.3,422.57224,182.11972,1198.9999,296.65,7404.8203,1518.7942,347.64148
133.2,422.57224,182.11969,1199.0,295.37222,7608.1104,1531.9596,346.7933
133.2,422.57224,182.11975,1198.9998,295.48334,7591.522,1530.8309,346.87527
133.2,422.57224,182.11969,1199.0,294.2611,7789.036,1543.0767,346.0595
133.1,422.57224,182.11972,1198.9996,292.7611,8035.371,1557.5974,345.04898
133.0,422.57224,182.11975,1198.9996,291.48334,8249.52,1569.5267,344.1863
132.8,422.57224,182.1197,1198.9999,292.03888,8156.374,1564.3898,344.56433
132.7,422.57224,182.1197,1198.9999,294.65,7724.97,1539.2206,346.31396
132.6,422.57224,182.11969,1199.0,298.48334,7124.4634,1499.1914,348.8632
132.6,422.57224,182.11972,1198.9999,301.87222,6620.1064,1460.7322,351.0734
132.7,422.57224,203.71982,1077.2822,305.09445,6161.3813,1421.476,353.11966
142.3,422.57224,210.2697,1084.58,306.87222,5425.5107,1227.0172,352.01266
140.9,422.57224,236.34781,1032.5581,309.59445,5290.7295,1293.8713,354.50116
135.7,422.57224,236.34781,1032.5581,310.03888,5550.364,1287.8612,357.08347
132.5,422.57224,230.3205,1027.3151,310.15,5464.1343,1286.3513,356.8598
