Brine_p,brine_t,brinein_m1,pumpspeed,AmbientT,gross_p,pumpcost,brineout_T
126.0,298.1,182.61447,966.59076,275.42776,9941.459,1327.7434,331.35355
126.0,298.1,183.22702,950.4362,276.42776,9765.134,1323.0466,332.04355
126.0,298.1,180.33792,942.65186,276.7611,9707.205,1321.4357,332.26416
126.0,298.1,179.99214,944.7419,276.53888,9748.394,1322.5122,332.1183
126.0,298.1,180.69444,945.23474,276.09445,9828.24,1324.635,331.80515
126.0,298.1,182.99481,984.4686,275.65,9897.634,1326.7174,331.49466
125.9,298.1,182.81102,970.8153,275.2611,9967.75,1328.5063,331.21582
125.9,298.0,172.08423,941.7671,274.81668,10040.972,1330.5132,330.91425
125.9,298.0,182.59357,981.34546,274.37222,10117.89,1332.4799,330.57413
125.9,298.0,182.73637,982.67804,273.92776,10194.655,1334.4062,330.28714
126.0,298.0,182.34557,982.5109,273.48334,10268.5,1336.2926,329.98892
125.9,297.9,182.64452,949.80145,273.20557,10306.832,1337.4512,329.78714
126.0,297.9,182.35645,942.8785,273.09445,10325.883,1337.9103,329.6851
125.9,297.9,182.65851,945.0359,273.0,10347.583,1338.2985,329.6463
126.0,297.9,182.73637,981.7647,273.15,10321.862,1337.681,329.7616
126.0,297.9,182.58711,981.1291,273.15,10316.359,1337.681,329.75012
126.0,297.9,182.466,948.5446,273.09445,10331.392,1337.9103,329.7092
125.9,297.9,179.68019,968.0339,273.09445,10325.883,1337.9103,329.70987
125.9,297.9,182.63316,980.9368,273.15,10316.359,1337.681,329.75827
125.9,297.9,182.46045,980.6832,273.20557,10306.832,1337.4512,329.78558
125.9,297.9,182.64551,944.07654,273.31668,10293.25,1336.9896,329.86597
125.9,297.9,182.33382,978.5203,273.37222,10283.706,1336.7579,329.8801
125.9,297.9,182.45348,979.6772,273.42776,10274.157,1336.5256,329.92545
125.9,297.8,181.29868,972.74036,273.48334,10257.974,1336.2926,329.9455
125.9,297.8,182.25894,977.4464,273.59445,10233.416,1335.8248,330.0175
125.9,297.8,182.41182,959.9292,273.65,10232.035,1335.59,330.05234
125.9,297.8,182.1976,975.43146,273.53888,10245.694,1336.059,329.95627
125.9,297.8,182.08151,956.80316,273.37222,10268.844,1336.7579,329.83484
125.9,297.8,182.38374,978.32465,273.20557,10305.671,1337.4512,329.76193
125.9,297.8,182.26903,975.4322,273.09445,10319.215,1337.9103,329.67477
125.9,297.8,182.23163,977.89124,273.0,10335.387,1338.2985,329.6131
125.9,297.8,182.28201,952.745,273.0,10335.387,1338.2985,329.62225
125.9,297.8,182.3599,943.0293,273.0,10338.146,1338.2985,329.6327
125.9,297.9,182.15862,979.03284,273.0,10347.583,1338.2985,329.62134
125.9,297.9,181.93471,978.19196,273.0,10344.823,1338.2985,329.62115
125.9,297.9,182.15866,979.1857,273.0,10344.823,1338.2985,329.62616
125.9,297.9,182.08734,978.709,273.0,10342.063,1338.2985,329.62036
125.9,297.9,182.15237,973.96387,273.0,10344.823,1338.2985,329.62564
125.9,297.9,181.25882,967.0419,273.0,10342.063,1338.2985,329.63266
125.9,297.9,182.28204,979.75977,273.0,10342.063,1338.2985,329.64264
125.9,298.0,181.11856,954.8263,273.0,10354.257,1338.2985,329.63568
