Brine_p,brine_t,brinein_m1,pumpspeed,AmbientT,gross_p,pumpcost,brineout_T
127.5,298.9,186.66035,1061.0,288.81668,7700.9565,1156.3197,340.65833
127.7,298.7,186.72653,1060.9993,286.37222,8097.2944,1173.3202,338.9087
127.799995,298.6,183.11182,1034.0089,283.59445,8575.133,1191.1555,336.92993
127.799995,298.6,186.7285,1029.4894,281.81668,8890.96,1201.7462,335.67282
127.799995,298.7,179.27359,999.9559,282.70557,8736.728,1196.531,336.2955
127.6,298.7,186.65358,1031.7319,279.98334,9229.999,1211.9977,334.3647
127.5,298.5,183.37033,996.06274,276.92776,9775.645,1227.5793,332.19476
127.5,298.4,186.53165,1031.0245,277.09445,9746.134,1226.7777,332.3269
127.5,298.6,186.72844,1034.9343,277.31668,9719.272,1225.7002,332.52676
127.5,298.7,186.7285,1035.795,277.37222,9712.435,1225.4293,332.5868
127.5,298.7,184.69063,1012.3379,277.53888,9676.657,1219.1271,332.7195
127.6,298.79996,184.95749,1016.1189,277.81668,9638.235,1217.7566,332.93195
127.7,298.79996,186.7285,1038.272,276.65,9845.786,1223.4093,332.11334
127.6,298.79996,184.50298,1012.93695,276.2611,9923.06,1230.7302,331.82507
127.40001,298.79996,186.7285,1039.0623,275.53888,10050.573,1231.29,331.32623
127.3,298.9,186.72351,1040.7142,274.87222,10191.478,1237.0095,330.90283
127.2,298.9,186.72005,1039.8151,275.42776,10079.752,1234.544,331.25626
127.1,298.9,186.69249,1039.0298,275.70557,10030.405,1233.2881,331.44833
127.1,298.9,186.7285,1038.2871,276.53888,9879.78,1229.4281,332.0326
127.3,298.9,172.05885,1060.9988,279.20557,9377.352,1216.142,333.88232
127.0,298.9,186.67976,1031.6184,281.20557,9013.734,1205.2389,335.2915
127.1,298.9,182.29716,1060.8723,283.37222,8628.585,1192.5144,336.83008
126.7,298.79996,173.00363,1061.0,284.15,8481.201,1187.7142,337.36392
126.7,298.79996,186.35603,1060.9629,283.92776,8522.553,1189.0983,337.20804
126.8,298.79996,183.07468,1060.9933,283.31668,8633.085,1192.8525,336.7871
126.8,298.79996,172.05853,1060.9971,282.03888,8866.381,1200.4574,335.89767
126.9,298.79996,172.05824,1060.9542,280.7611,9102.679,1207.7316,335.0139
