Brine_p,brine_t,brinein_m1,pumpspeed,AmbientT,gross_p,pumpcost,brineout_T
127.1,297.2,174.37842,948.70294,275.42776,9552.678,1257.7572,331.35355
127.1,297.2,172.05818,929.1926,276.42776,9377.69,1253.1561,332.04355
127.1,297.2,177.10094,967.9316,276.7611,9317.284,1251.5779,332.26416
127.1,297.2,177.44081,970.2958,276.53888,9352.65,1252.6324,332.1183
127.1,297.2,177.02805,967.4176,276.09445,9432.098,1254.712,331.80515
127.1,297.2,172.05818,931.4292,275.65,9509.68,1256.7521,331.49466
127.1,297.2,172.0786,930.7955,275.2611,9581.49,1258.5046,331.21582
127.1,297.2,183.03883,1010.1169,274.81668,9664.143,1260.4707,330.91425
127.0,297.2,172.15942,931.75183,274.37222,9728.452,1262.3973,330.57413
127.0,297.2,172.05827,930.8756,273.92776,9812.837,1264.2847,330.28714
127.0,297.2,172.56432,934.41736,273.48334,9895.97,1266.1327,329.98892
127.0,297.2,172.06953,930.7725,273.20557,9941.071,1267.2678,329.78714
127.0,297.1,172.09888,928.84436,273.09445,9950.326,1267.7175,329.6851
127.0,297.1,172.05818,928.70685,273.0,9971.263,1268.0979,329.6463
126.9,297.2,172.05833,930.5783,273.15,9951.841,1267.4929,329.7616
126.9,297.2,172.0582,930.5808,273.15,9953.651,1267.4929,329.75012
126.9,297.2,172.17476,929.9692,273.09445,9958.981,1267.7175,329.7092
126.9,297.2,174.92615,951.1881,273.09445,9959.241,1267.7175,329.70987
126.9,297.2,172.05852,930.6049,273.15,9952.876,1267.4929,329.75827
126.9,297.2,172.1132,930.9952,273.20557,9940.813,1267.2678,329.78558
126.9,297.2,172.05818,930.62415,273.31668,9924.177,1266.8156,329.86597
126.9,297.2,172.08658,930.8289,273.37222,9910.569,1266.5886,329.8801
127.0,297.2,172.06201,930.7706,273.42776,9899.8,1266.361,329.92545
127.0,297.1,176.32074,960.1547,273.48334,9887.116,1266.1327,329.9455
127.0,297.1,172.17862,929.73773,273.59445,9868.914,1265.6744,330.0175
127.0,297.1,172.05818,928.7033,273.65,9855.326,1265.4443,330.05234
127.0,297.0,172.05818,926.99384,273.53888,9865.1875,1265.9038,329.95627
127.0,297.0,172.05818,926.86926,273.37222,9896.946,1266.5886,329.83484
127.0,297.1,172.11223,929.1537,273.20557,9936.828,1267.2678,329.76193
127.0,297.1,172.05823,928.70184,273.09445,9957.323,1267.7175,329.67477
127.0,297.1,172.0584,928.7175,273.0,9969.705,1268.0979,329.6131
127.0,297.2,172.05818,930.5171,273.0,9980.709,1268.0979,329.62225
127.0,297.2,172.05818,930.6383,273.0,9978.633,1268.0979,329.6327
127.0,297.2,172.05818,930.6238,273.0,9978.373,1268.0979,329.62134
127.0,297.2,172.2897,932.306,273.0,9975.776,1268.0979,329.62115
127.0,297.3,172.05818,932.6851,273.0,9984.701,1268.0979,329.62616
127.0,297.3,172.05818,932.5612,273.0,9981.845,1268.0979,329.62036
127.0,297.3,172.05818,932.5556,273.0,9984.442,1268.0979,329.62564
127.0,297.3,176.72224,986.0276,273.0,9987.037,1268.0979,329.63266
127.0,297.3,172.05821,932.5751,273.0,9984.442,1268.0979,329.64264
127.0,297.3,177.69856,972.7373,273.0,9985.221,1268.0979,329.63568
127.0,297.3,172.05818,932.5506,273.0,9980.546,1268.0979,329.6261
127.0,297.3,172.05829,932.5617,273.0,9983.663,1268.0979,329.62732
127.0,297.3,172.05818,932.56366,273.0,9984.442,1268.0979,329.63907
127.0,297.3,172.2693,934.0899,273.0,9985.999,1268.0979,329.63715
127.0,297.3,172.06953,932.987,273.0,9970.401,1268.0979,329.6158
127.3,297.3,172.05818,932.81464,273.0,9960.497,1268.0979,329.637
127.7,297.3,172.05818,933.19745,273.0,9949.003,1268.0979,329.6246
128.1,297.3,177.0177,969.14264,273.03888,9927.037,1267.9415,329.66382
128.5,297.3,172.05818,934.0029,273.42776,9869.379,1266.361,329.90802
128.8,297.2,172.05818,932.14966,273.53888,9846.288,1265.9038,329.9516
133.1,297.2,172.0584,936.82965,276.03888,9369.468,1224.674,331.64877
131.6,297.2,172.05818,935.62714,276.37222,9325.491,1223.1372,331.93866
130.0,297.2,172.05818,934.32025,276.42776,9321.715,1222.8789,332.0091
128.9,297.2,172.05823,933.289,276.48334,9313.164,1222.62,332.0644
128.7,297.2,172.07954,933.2546,276.48334,9317.681,1222.62,332.0749
128.5,297.2,172.05818,931.98627,276.53888,9306.036,1222.3606,332.10873
128.3,297.2,172.08487,932.99335,276.53888,9305.323,1222.3606,332.10736
128.1,297.2,172.06061,932.7198,276.59445,9296.768,1222.1005,332.14313
127.9,297.2,172.05818,932.1085,275.59445,9471.602,1226.6887,331.45972
127.7,297.1,177.11702,954.5076,273.42776,9845.73,1235.9524,329.98706
127.5,297.1,172.05818,929.22644,273.2611,9873.138,1236.6267,329.86765
127.40001,297.1,176.94751,964.1344,273.20557,9885.158,1236.8503,329.83017
127.3,297.1,172.05818,929.0024,273.20557,9882.862,1236.8503,329.8166
127.1,297.0,172.06473,926.9021,273.0,9915.673,1237.6721,329.66647
127.2,297.0,182.14594,999.43274,273.15,9888.528,1234.3306,329.77863
127.2,297.1,172.05818,928.9118,273.09445,9902.413,1234.5527,329.7572
127.1,297.1,172.05818,928.7909,273.0,9914.336,1234.929,329.685
127.1,297.1,172.05818,928.71204,273.0,9915.615,1234.929,329.683
127.0,297.2,172.05818,930.7086,273.2611,9874.327,1233.8845,329.8533
127.0,297.2,172.05818,930.6845,273.15,9892.506,1234.3306,329.78134
127.1,297.2,172.05823,930.70215,273.0,9910.151,1232.1896,329.6742
127.1,297.2,172.05818,930.7305,273.0,9914.757,1232.1896,329.66336
127.1,297.2,172.05914,931.5471,275.98334,9391.9,1219.4686,331.69458
127.2,297.2,172.0583,932.64905,278.7611,8906.327,1206.044,333.62738
127.2,297.1,172.05818,931.1621,280.20557,8651.712,1198.4574,334.61813
127.2,297.0,172.05818,930.19025,283.03888,8164.7515,1182.3652,336.58972
127.3,297.0,180.38176,990.20544,285.98334,7684.17,1166.609,338.68228
127.3,296.9,172.05818,929.90765,287.48334,7440.9233,1159.2065,339.7316
127.40001,296.8,182.41504,1001.7828,288.81668,7230.3213,1149.8606,340.65833
127.5,296.8,172.05821,927.7381,286.37222,7613.0938,1166.7188,338.9087
127.5,296.7,172.05821,924.7891,283.59445,8059.1357,1184.4053,336.92993
127.6,296.60004,172.05818,922.3049,281.81668,8351.978,1194.9078,335.67282
127.6,296.5,180.78253,982.82007,282.70557,8196.767,1189.7361,336.2955
127.7,296.4,172.05833,928.72833,279.98334,8651.149,1205.0743,334.3647
127.799995,295.8,176.01134,936.2921,276.92776,9149.054,1220.527,332.19476
127.799995,296.1,172.06606,904.1639,277.09445,9133.934,1219.7319,332.3269
127.799995,296.60004,172.05826,920.9547,277.31668,9125.147,1218.6635,332.52676
127.799995,296.8,172.05818,924.84937,277.37222,9128.023,1218.3948,332.5868
127.799995,296.7,175.33315,944.4346,277.53888,9088.97,1212.1393,332.7195
127.7,296.8,172.0586,927.7816,277.81668,9044.06,1210.78,332.93195
127.7,296.9,181.50954,994.2917,276.65,9255.056,1216.3861,332.11334
127.7,297.0,176.72371,962.2167,276.2611,9334.115,1223.6519,331.82507
127.7,297.1,172.05818,929.67505,275.53888,9464.214,1226.9379,331.32623
127.6,297.2,172.05818,931.52014,274.87222,9589.16,1229.8795,330.90283
127.6,297.2,172.05833,931.314,275.42776,9489.194,1227.4342,331.25626
127.5,297.2,172.06773,932.4861,275.70557,9439.004,1226.1887,331.44833
127.40001,297.2,172.05818,932.02234,276.53888,9291.529,1222.3606,332.0326
127.3,297.3,181.35088,1001.2066,279.20557,8835.796,1209.1842,333.88232
127.2,297.3,172.05818,935.39307,281.20557,8493.537,1198.3715,335.2915
127.1,297.3,172.05818,936.055,283.37222,8128.749,1185.7529,336.83008
127.1,297.3,180.49702,996.189,284.15,7998.621,1180.9927,337.36392
127.1,297.3,172.06073,936.2778,283.92776,8035.4575,1182.3652,337.20804
127.1,297.3,172.05873,936.0497,283.31668,8138.6396,1186.0883,336.7871
127.2,297.3,181.71844,1004.4853,282.03888,8354.763,1193.6298,335.89767
127.2,297.3,181.91379,1005.56396,280.7611,8567.481,1200.8435,335.0139
127.2,297.3,172.05818,934.8175,278.81668,8912.435,1211.1938,333.65674
127.2,297.3,172.06981,932.0248,276.70557,9274.383,1221.5784,332.18646
127.3,297.2,172.05818,931.6854,276.48334,9308.881,1222.62,331.99734
127.3,297.2,172.05959,933.37604,277.09445,9199.0625,1219.7319,332.408
127.2,297.2,172.066,936.98145,277.92776,9054.063,1215.6743,332.9914
127.2,297.2,181.60703,1000.7685,278.15,9016.054,1214.569,333.15253
127.2,297.1,181.28049,996.319,277.59445,9104.555,1217.314,332.7363
127.2,297.2,175.60701,956.7665,276.98334,9219.672,1220.2626,332.3337
127.2,297.2,172.06018,931.77045,276.42776,9315.04,1222.8789,331.9515
127.1,297.2,172.05818,931.3777,275.42776,9491.633,1227.4342,331.2728
